Year,Make,Model,Trim,Assembly
2011,HONDA,5432,22613,00000D2S
2008,TOYOTA,8986,13680,00000RCG
2011,TOYOTA,9113,25609,00000P47
2013,HYUNDAI,5611,8654,00001DIE
2012,TOYOTA,8990,25139,00000OD1
2013,TOYOTA,8991,13701,00000UF2
2010,HONDA,5467,8417,000005CC
2012,HONDA,5469,8432,000003Q1
2010,FORD,5202,7769,000002AQ
2013,NISSAN,7879,11889,00000S00
2011,TOYOTA,8989,13692,00000FZF
2013,HYUNDAI,5688,8767,00000DU7
2011,NISSAN,7877,11873,00000HAI
2009,TOYOTA,8987,13684,00000GRK
2000,CHEVROLET,1580,770,0000035F
2009,HONDA,5406,8217,000005BA
2011,HYUNDAI,5686,8755,00000N5V
